ENSEMBL,SYMBOL,GENENAME
ENSMUSG00000041670,Rims1,regulating synaptic membrane exocytosis 1
ENSMUSG00000097970,NA,NA
ENSMUSG00000026158,Ogfrl1,opioid growth factor receptor-like 1
ENSMUSG00000026156,B3gat2,"beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S)"
ENSMUSG00000026155,Smap1,small ArfGAP 1
ENSMUSG00000026154,Sdhaf4,succinate dehydrogenase complex assembly factor 4
ENSMUSG00000026153,Fam135a,"family with sequence similarity 135, member A"
ENSMUSG00000026147,Col9a1,"collagen, type IX, alpha 1"
ENSMUSG00000100131,NA,NA
ENSMUSG00000067736,Gm10222,predicted gene 10222
ENSMUSG00000101939,NA,NA
ENSMUSG00000101111,NA,NA
ENSMUSG00000100862,Gm10925,ATP synthase F0 subunit 6 pseudogene
ENSMUSG00000102070,NA,NA
ENSMUSG00000101249,NA,NA
ENSMUSG00000073725,Lmbrd1,LMBR1 domain containing 1
ENSMUSG00000033569,Adgrb3,adhesion G protein-coupled receptor B3
ENSMUSG00000086240,NA,NA
ENSMUSG00000099492,Gm5525,eukaryotic translation elongation factor 1 gamma pseudogene
ENSMUSG00000100261,NA,NA
ENSMUSG00000048874,Phf3,PHD finger protein 3
ENSMUSG00000026064,Ptp4a1,protein tyrosine phosphatase 4a1
ENSMUSG00000117310,Ptp4a1,protein tyrosine phosphatase 4a1
ENSMUSG00000086727,4931428L18Rik,RIKEN cDNA 4931428L18 gene
ENSMUSG00000086727,Gm29669,predicted gene 29669
ENSMUSG00000070960,Gm19680,polyamine oxidase (exo-N4-amino) pseudogene
ENSMUSG00000026134,Prim2,"DNA primase, p58 subunit"
ENSMUSG00000103746,1700001G17Rik,RIKEN cDNA 1700001G17 gene
ENSMUSG00000004768,Rab23,"RAB23, member RAS oncogene family"
ENSMUSG00000042215,Bag2,BCL2-associated athanogene 2
ENSMUSG00000042197,Zfp451,zinc finger protein 451
ENSMUSG00000042182,Bend6,BEN domain containing 6
ENSMUSG00000026131,Dst,dystonin
ENSMUSG00000101462,NA,NA
ENSMUSG00000102336,NA,NA
ENSMUSG00000042111,Ccdc115,coiled-coil domain containing 115
ENSMUSG00000026127,Imp4,"IMP4, U3 small nucleolar ribonucleoprotein"
ENSMUSG00000026126,Ptpn18,"protein tyrosine phosphatase, non-receptor type 18"
ENSMUSG00000100280,NA,NA
ENSMUSG00000037509,Arhgef4,Rho guanine nucleotide exchange factor (GEF) 4
ENSMUSG00000104002,NA,NA
ENSMUSG00000037503,Fam168b,"family with sequence similarity 168, member B"
ENSMUSG00000104358,NA,NA
ENSMUSG00000026123,Plekhb2,"pleckstrin homology domain containing, family B (evectins) member 2"
ENSMUSG00000045216,Hs6st1,heparan sulfate 6-O-sulfotransferase 1
ENSMUSG00000102202,NA,NA
ENSMUSG00000037470,Uggt1,UDP-glucose glycoprotein glucosyltransferase 1
ENSMUSG00000047180,Neurl3,neuralized E3 ubiquitin protein ligase 3
ENSMUSG00000037447,Arid5a,AT rich interactive domain 5A (MRF1-like)
ENSMUSG00000010453,Kansl3,KAT8 regulatory NSL complex subunit 3
ENSMUSG00000037432,Fer1l5,fer-1-like 5 (C. elegans)
ENSMUSG00000001143,Lman2l,"lectin, mannose-binding 2-like"
ENSMUSG00000037408,Cnnm4,cyclin M4
ENSMUSG00000104316,NA,NA
ENSMUSG00000001138,Cnnm3,cyclin M3
ENSMUSG00000067653,Ankrd23,ankyrin repeat domain 23
ENSMUSG00000079610,Ankrd39,ankyrin repeat domain 39
ENSMUSG00000026121,Sema4c,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C"
ENSMUSG00000087589,NA,NA
ENSMUSG00000061518,Cox5b,cytochrome c oxidase subunit 5B
ENSMUSG00000037351,Actr1b,"ARP1 actin-related protein 1B, centractin beta"
ENSMUSG00000026117,Zap70,zeta-chain (TCR) associated protein kinase
ENSMUSG00000026116,Tmem131,transmembrane protein 131
ENSMUSG00000050122,Vwa3b,von Willebrand factor A domain containing 3B
ENSMUSG00000026114,Cnga3,cyclic nucleotide gated channel alpha 3
ENSMUSG00000026113,Inpp4a,"inositol polyphosphate-4-phosphatase, type I"
ENSMUSG00000026112,Coa5,cytochrome C oxidase assembly factor 5
ENSMUSG00000026111,Unc50,unc-50 homolog
ENSMUSG00000026110,Mgat4a,"mannoside acetylglucosaminyltransferase 4, isoenzyme A"
ENSMUSG00000026090,Cracdl,capping protein inhibiting regulator of actin like
ENSMUSG00000089767,NA,NA
ENSMUSG00000060771,Tsga10,testis specific 10
ENSMUSG00000037216,Lipt1,lipoyltransferase 1
ENSMUSG00000026088,Mitd1,"MIT, microtubule interacting and transport, domain containing 1"
ENSMUSG00000026087,Mrpl30,mitochondrial ribosomal protein L30
ENSMUSG00000058407,Txndc9,thioredoxin domain containing 9
ENSMUSG00000026083,Eif5b,eukaryotic translation initiation factor 5B
ENSMUSG00000026082,Rev1,"REV1, DNA directed polymerase"
ENSMUSG00000103804,NA,NA
ENSMUSG00000037138,Aff3,"AF4/FMR2 family, member 3"
ENSMUSG00000048814,Lonrf2,LON peptidase N-terminal domain and ring finger 2
ENSMUSG00000026080,Chst10,carbohydrate sulfotransferase 10
ENSMUSG00000026078,Pdcl3,phosducin-like 3
ENSMUSG00000103046,NA,NA
ENSMUSG00000026077,Npas2,neuronal PAS domain protein 2
ENSMUSG00000073702,Rpl31,ribosomal protein L31
ENSMUSG00000003134,Tbc1d8,"TBC1 domain family, member 8"
ENSMUSG00000003135,Cnot11,"CCR4-NOT transcription complex, subunit 11"
ENSMUSG00000085894,NA,NA
ENSMUSG00000077704,Snord89,"small nucleolar RNA, C/D box 89"
ENSMUSG00000048234,Rnf149,ring finger protein 149
ENSMUSG00000050967,Creg2,cellular repressor of E1A-stimulated genes 2
ENSMUSG00000026074,Map4k4,mitogen-activated protein kinase kinase kinase kinase 4
ENSMUSG00000026073,Il1r2,"interleukin 1 receptor, type II"
ENSMUSG00000026072,Il1r1,"interleukin 1 receptor, type I"
ENSMUSG00000070942,Il1rl2,interleukin 1 receptor-like 2
ENSMUSG00000026069,Il1rl1,interleukin 1 receptor-like 1
ENSMUSG00000026070,Il18r1,interleukin 18 receptor 1
ENSMUSG00000026068,Il18rap,interleukin 18 receptor accessory protein
ENSMUSG00000026065,Slc9a4,"solute carrier family 9 (sodium/hydrogen exchanger), member 4"
ENSMUSG00000026062,Slc9a2,"solute carrier family 9 (sodium/hydrogen exchanger), member 2"
ENSMUSG00000103270,Gm37915,"predicted gene, 37915"
ENSMUSG00000041945,Mfsd9,major facilitator superfamily domain containing 9
ENSMUSG00000079588,Tmem182,transmembrane protein 182
ENSMUSG00000060679,Mrps9,mitochondrial ribosomal protein S9
ENSMUSG00000041907,Gpr45,G protein-coupled receptor 45
ENSMUSG00000070939,Tgfbrap1,"transforming growth factor, beta receptor associated protein 1"
ENSMUSG00000041878,NA,NA
ENSMUSG00000010290,AI597479,expressed sequence AI597479
ENSMUSG00000008136,Fhl2,four and a half LIM domains 2
ENSMUSG00000066877,Nck2,non-catalytic region of tyrosine kinase adaptor protein 2
ENSMUSG00000103945,NA,NA
ENSMUSG00000057363,Uxs1,UDP-glucuronate decarboxylase 1
ENSMUSG00000100701,NA,NA
ENSMUSG00000041763,Tpp2,tripeptidyl peptidase II
ENSMUSG00000091844,Gm8251,predicted gene 8251
ENSMUSG00000026049,Tex30,testis expressed 30
ENSMUSG00000026047,Poglut2,protein O-glucosyltransferase 2
ENSMUSG00000041684,Bivm,"basic, immunoglobulin-like variable motif containing"
ENSMUSG00000026048,Ercc5,"excision repair cross-complementing rodent repair deficiency, complementation group 5"
ENSMUSG00000101567,NA,NA
ENSMUSG00000056870,Gulp1,"GULP, engulfment adaptor PTB domain containing 1"
ENSMUSG00000026043,Col3a1,"collagen, type III, alpha 1"
ENSMUSG00000026042,Col5a2,"collagen, type V, alpha 2"
ENSMUSG00000025995,Wdr75,WD repeat domain 75
ENSMUSG00000084817,NA,NA
ENSMUSG00000025993,Slc40a1,"solute carrier family 40 (iron-regulated transporter), member 1"
ENSMUSG00000041144,Dnah7b,"dynein, axonemal, heavy chain 7B"
ENSMUSG00000025986,Slc39a10,"solute carrier family 39 (zinc transporter), member 10"
ENSMUSG00000100213,NA,NA
ENSMUSG00000026109,Tmeff2,transmembrane protein with EGF-like and two follistatin-like domains 2
ENSMUSG00000045954,Cavin2,caveolae associated 2
ENSMUSG00000026107,Nabp1,nucleic acid binding protein 1
ENSMUSG00000018417,Myo1b,myosin IB
ENSMUSG00000062939,Stat4,signal transducer and activator of transcription 4
ENSMUSG00000109599,NA,NA
ENSMUSG00000026104,Stat1,signal transducer and activator of transcription 1
ENSMUSG00000026103,Gls,glutaminase
ENSMUSG00000002881,Nab1,Ngfi-A binding protein 1
ENSMUSG00000100007,NA,NA
ENSMUSG00000043015,Nemp2,nuclear envelope integral membrane protein 2
ENSMUSG00000041439,Mfsd6,major facilitator superfamily domain containing 6
ENSMUSG00000026102,Inpp1,inositol polyphosphate-1-phosphatase
ENSMUSG00000041426,Hibch,3-hydroxyisobutyryl-Coenzyme A hydrolase
ENSMUSG00000043629,1700019D03Rik,RIKEN cDNA 1700019D03 gene
ENSMUSG00000026098,Pms1,"PMS1 homolog 1, mismatch repair system component"
ENSMUSG00000026097,Ormdl1,ORM1-like 1 (S. cerevisiae)
ENSMUSG00000026096,Osgepl1,O-sialoglycoprotein endopeptidase-like 1
ENSMUSG00000099913,NA,NA
ENSMUSG00000026095,Asnsd1,asparagine synthetase domain containing 1
ENSMUSG00000026094,Stk17b,serine/threonine kinase 17b (apoptosis-inducing)
ENSMUSG00000042807,Hecw2,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2"
ENSMUSG00000041303,Gtf3c3,"general transcription factor IIIC, polypeptide 3"
ENSMUSG00000073678,Pgap1,post-GPI attachment to proteins 1
ENSMUSG00000052331,Ankrd44,ankyrin repeat domain 44
ENSMUSG00000025982,Sf3b1,"splicing factor 3b, subunit 1"
ENSMUSG00000103030,NA,NA
ENSMUSG00000025981,Coq10b,coenzyme Q10B
ENSMUSG00000101122,Gm17971,ribosomal protein S2 pseudogene
ENSMUSG00000025980,Hspd1,heat shock protein 1 (chaperonin)
ENSMUSG00000073676,Hspe1,heat shock protein 1 (chaperonin 10)
ENSMUSG00000089670,Gm16581,serine/arginine repetitive matrix 2 pseudogene
ENSMUSG00000025979,Mob4,"MOB family member 4, phocein"
ENSMUSG00000025978,Rftn2,raftlin family member 2
ENSMUSG00000097649,NA,NA
ENSMUSG00000046994,Mars2,methionine-tRNA synthetase 2 (mitochondrial)
ENSMUSG00000100215,Gm8292,predicted gene 8292
ENSMUSG00000038349,Plcl1,phospholipase C-like 1
ENSMUSG00000038331,Satb2,special AT-rich sequence binding protein 2
ENSMUSG00000087022,9130024F11Rik,RIKEN cDNA 9130024F11 gene
ENSMUSG00000087022,Gm38484,"predicted gene, 38484"
ENSMUSG00000097519,4930558J18Rik,RIKEN cDNA 4930558J18 gene
ENSMUSG00000038323,1700066M21Rik,RIKEN cDNA 1700066M21 gene
ENSMUSG00000048495,Tyw5,tRNA-yW synthesizing protein 5
ENSMUSG00000025971,Maip1,matrix AAA peptidase interacting protein 1
ENSMUSG00000038305,Spats2l,"spermatogenesis associated, serine-rich 2-like"
ENSMUSG00000054770,Kctd18,potassium channel tetramerisation domain containing 18
ENSMUSG00000026039,Sgo2a,shugoshin 2A
ENSMUSG00000063558,Aox1,aldehyde oxidase 1
ENSMUSG00000079554,Aox2,aldehyde oxidase 2
ENSMUSG00000103839,NA,NA
ENSMUSG00000051223,Bzw1,basic leucine zipper and W2 domains 1
ENSMUSG00000026034,Clk1,CDC-like kinase 1
ENSMUSG00000026035,Ppil3,peptidylprolyl isomerase (cyclophilin)-like 3
ENSMUSG00000026036,Nif3l1,Ngg1 interacting factor 3-like 1 (S. pombe)
ENSMUSG00000026037,Orc2,"origin recognition complex, subunit 2"
ENSMUSG00000085054,NA,NA
ENSMUSG00000038174,Hycc2,hyccin PI4KA lipid kinase complex subunit 2
ENSMUSG00000026032,Ndufb3,NADH:ubiquinone oxidoreductase subunit B3
ENSMUSG00000047528,Flacc1,flagellum associated containing coiled-coil domains 1
ENSMUSG00000102059,NA,NA
ENSMUSG00000026031,Cflar,CASP8 and FADD-like apoptosis regulator
ENSMUSG00000026029,Casp8,caspase 8
ENSMUSG00000102719,NA,NA
ENSMUSG00000099719,NA,NA
ENSMUSG00000026028,Trak2,"trafficking protein, kinesin binding 2"
ENSMUSG00000026027,Stradb,STE20-related kinase adaptor beta
ENSMUSG00000038079,Tmem237,transmembrane protein 237
ENSMUSG00000097573,NA,NA
ENSMUSG00000079550,Mpp4,"membrane protein, palmitoylated 4 (MAGUK p55 subfamily member 4)"
ENSMUSG00000101586,NA,NA
ENSMUSG00000026024,Als2,alsin Rho guanine nucleotide exchange factor
ENSMUSG00000041075,Fzd7,frizzled class receptor 7
ENSMUSG00000097819,NA,NA
ENSMUSG00000047361,Gm973,predicted gene 973
ENSMUSG00000026021,Sumo1,small ubiquitin-like modifier 1
ENSMUSG00000103821,NA,NA
ENSMUSG00000026020,Nop58,NOP58 ribonucleoprotein
ENSMUSG00000067336,Bmpr2,"bone morphogenetic protein receptor, type II (serine/threonine kinase)"
ENSMUSG00000041040,Fam117b,"family with sequence similarity 117, member B"
ENSMUSG00000026018,Ica1l,islet cell autoantigen 1-like
ENSMUSG00000026019,Wdr12,WD repeat domain 12
ENSMUSG00000026017,Carf,calcium response factor
ENSMUSG00000073664,Nbeal1,neurobeachin like 1
ENSMUSG00000049439,Cyp20a1,"cytochrome P450, family 20, subfamily a, polypeptide 1"
ENSMUSG00000026782,Abi2,abl interactor 2
ENSMUSG00000026014,Raph1,Ras association (RalGDS/AF-6) and pleckstrin homology domains 1
ENSMUSG00000101188,NA,NA
ENSMUSG00000026012,Cd28,CD28 antigen
ENSMUSG00000026011,Ctla4,cytotoxic T-lymphocyte-associated protein 4
ENSMUSG00000081382,Rpl18-ps1,"ribosomal protein L18, pseudogene 1"
ENSMUSG00000026009,Icos,inducible T cell co-stimulator
ENSMUSG00000052062,Pard3b,par-3 family cell polarity regulator beta
ENSMUSG00000025969,Nrp2,neuropilin 2
ENSMUSG00000040865,Ino80d,INO80 complex subunit D
ENSMUSG00000084799,Ino80dos,"INO80 complex subunit D, opposite strand"
ENSMUSG00000101599,NA,NA
ENSMUSG00000025968,Ndufs1,NADH:ubiquinone oxidoreductase core subunit S1
ENSMUSG00000025967,Eef1b2,eukaryotic translation elongation factor 1 beta 2
ENSMUSG00000064602,Snora41,"small nucleolar RNA, H/ACA box 41"
ENSMUSG00000081643,NA,NA
ENSMUSG00000025964,Adam23,a disintegrin and metallopeptidase domain 23
ENSMUSG00000025962,Fastkd2,FAST kinase domains 2
ENSMUSG00000025959,Klf7,Kruppel-like factor 7 (ubiquitous)
ENSMUSG00000025958,Creb1,cAMP responsive element binding protein 1
ENSMUSG00000025956,Mettl21a,methyltransferase like 21A
ENSMUSG00000087213,2810408I11Rik,RIKEN cDNA 2810408I11 gene
ENSMUSG00000070871,Ccnyl1,cyclin Y-like 1
ENSMUSG00000045005,Fzd5,frizzled class receptor 5
ENSMUSG00000102140,NA,NA
ENSMUSG00000051344,Plekhm3,"pleckstrin homology domain containing, family M, member 3"
ENSMUSG00000084416,Rpl10a-ps1,"ribosomal protein L10A, pseudogene 1"
ENSMUSG00000044816,D630023F18Rik,RIKEN cDNA D630023F18 gene
ENSMUSG00000025950,Idh1,"isocitrate dehydrogenase 1 (NADP+), soluble"
ENSMUSG00000025949,Pikfyve,"phosphoinositide kinase, FYVE type zinc finger containing"
ENSMUSG00000015222,Map2,microtubule-associated protein 2
ENSMUSG00000055567,Unc80,"unc-80, NALCN activator"
ENSMUSG00000026005,Rpe,ribulose-5-phosphate-3-epimerase
ENSMUSG00000026004,Kansl1l,KAT8 regulatory NSL complex subunit 1-like
ENSMUSG00000102559,NA,NA
ENSMUSG00000102374,NA,NA
ENSMUSG00000102776,NA,NA
ENSMUSG00000103756,NA,NA
ENSMUSG00000103553,NA,NA
ENSMUSG00000026003,Acadl,"acyl-Coenzyme A dehydrogenase, long-chain"
ENSMUSG00000082769,Gm15793,predicted gene 15793
ENSMUSG00000061816,Myl1,"myosin, light polypeptide 1"
ENSMUSG00000026000,Lancl1,LanC (bacterial lantibiotic synthetase component C)-like 1
ENSMUSG00000025991,Cps1,carbamoyl-phosphate synthetase 1
ENSMUSG00000025997,Ikzf2,IKAROS family zinc finger 2
ENSMUSG00000026196,Bard1,BRCA1 associated RING domain 1
ENSMUSG00000026192,Atic,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase
ENSMUSG00000026193,Fn1,fibronectin 1
ENSMUSG00000039395,Mreg,melanoregulin
ENSMUSG00000097131,NA,NA
ENSMUSG00000026189,Pecr,peroxisomal trans-2-enoyl-CoA reductase
ENSMUSG00000026187,Xrcc5,X-ray repair complementing defective repair in Chinese hamster cells 5
ENSMUSG00000039372,Marchf4,membrane associated ring-CH-type finger 4
ENSMUSG00000039354,Smarcal1,"SWI/SNF related matrix associated, actin dependent regulator of chromatin, subfamily a-like 1"
ENSMUSG00000046330,Rpl37a,ribosomal protein L37a
ENSMUSG00000039323,Igfbp2,insulin-like growth factor binding protein 2
ENSMUSG00000026185,Igfbp5,insulin-like growth factor binding protein 5
ENSMUSG00000055322,Tns1,tensin 1
ENSMUSG00000061815,Rufy4,RUN and FYVE domain containing 4
ENSMUSG00000006304,Arpc2,"actin related protein 2/3 complex, subunit 2"
ENSMUSG00000064272,Gpbar1,G protein-coupled bile acid receptor 1
ENSMUSG00000006299,Aamp,angio-associated migratory protein
ENSMUSG00000026179,Pnkd,paroxysmal nonkinesiogenic dyskinesia
ENSMUSG00000103013,NA,NA
ENSMUSG00000006301,Tmbim1,transmembrane BAX inhibitor motif containing 1
ENSMUSG00000073650,Catip,ciliogenesis associated TTC17 interacting protein
ENSMUSG00000026177,Slc11a1,"solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1"
ENSMUSG00000026176,Ctdsp1,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 1"
ENSMUSG00000065468,Mir26b,microRNA 26b
ENSMUSG00000026175,Vil1,villin 1
ENSMUSG00000033364,Usp37,ubiquitin specific peptidase 37
ENSMUSG00000026174,Cnot9,"CCR4-NOT transcription complex, subunit 9"
ENSMUSG00000026173,Plcd4,"phospholipase C, delta 4"
ENSMUSG00000026135,Zfp142,zinc finger protein 142
ENSMUSG00000026172,Bcs1l,BCS1-like (yeast)
ENSMUSG00000026171,Rnf25,ring finger protein 25
ENSMUSG00000033276,Stk36,serine/threonine kinase 36
ENSMUSG00000033257,Ttll4,"tubulin tyrosine ligase-like family, member 4"
ENSMUSG00000026170,Cyp27a1,"cytochrome P450, family 27, subfamily a, polypeptide 1"
ENSMUSG00000006542,Prkag3,"protein kinase, AMP-activated, gamma 3 non-catalytic subunit"
ENSMUSG00000033227,Wnt6,"wingless-type MMTV integration site family, member 6"
ENSMUSG00000090071,Cdk5r2,"cyclin-dependent kinase 5, regulatory subunit 2 (p39)"
ENSMUSG00000055197,Fev,"FEV transcription factor, ETS family member"
ENSMUSG00000006546,Cryba2,"crystallin, beta A2"
ENSMUSG00000047021,Cfap65,cilia and flagella associated protein 65
ENSMUSG00000006538,Ihh,Indian hedgehog
ENSMUSG00000026162,Nhej1,non-homologous end joining factor 1
ENSMUSG00000026205,Slc23a3,"solute carrier family 23 (nucleobase transporters), member 3"
ENSMUSG00000033159,Cnppd1,cyclin Pas1/PHO80 domain containing 1
ENSMUSG00000049339,Retreg2,reticulophagy regulator family member 2
ENSMUSG00000026197,Zfand2b,"zinc finger, AN1 type domain 2B"
ENSMUSG00000026198,Abcb6,"ATP-binding cassette, sub-family B (MDR/TAP), member 6"
ENSMUSG00000033124,Atg9a,autophagy related 9A
ENSMUSG00000026199,Ankzf1,ankyrin repeat and zinc finger domain containing 1
ENSMUSG00000026200,Glb1l,"galactosidase, beta 1-like"
ENSMUSG00000026201,Stk16,serine/threonine kinase 16
ENSMUSG00000026202,Tuba4a,"tubulin, alpha 4A"
ENSMUSG00000026203,Dnajb2,DnaJ heat shock protein family (Hsp40) member B2
ENSMUSG00000026204,Ptprn,"protein tyrosine phosphatase, receptor type, N"
ENSMUSG00000033061,Resp18,regulated endocrine-specific protein 18
ENSMUSG00000026209,Dnpep,aspartyl aminopeptidase
ENSMUSG00000026208,Des,desmin
ENSMUSG00000026207,Speg,SPEG complex locus
ENSMUSG00000033021,Gmppa,GDP-mannose pyrophosphorylase A
ENSMUSG00000032997,Chpf,chondroitin polymerizing factor
ENSMUSG00000026211,Obsl1,obscurin-like 1
ENSMUSG00000051703,Tmem198,transmembrane protein 198
ENSMUSG00000032968,Inha,inhibin alpha
ENSMUSG00000026213,Stk11ip,serine/threonine kinase 11 interacting protein
ENSMUSG00000006576,Slc4a3,"solute carrier family 4 (anion exchanger), member 3"
ENSMUSG00000026235,Epha4,Eph receptor A4
ENSMUSG00000032908,Sgpp2,sphingosine-1-phosphate phosphatase 2
ENSMUSG00000026245,Farsb,"phenylalanyl-tRNA synthetase, beta subunit"
ENSMUSG00000090486,NA,NA
ENSMUSG00000099364,NA,NA
ENSMUSG00000032883,Acsl3,acyl-CoA synthetase long-chain family member 3
ENSMUSG00000079470,Utp14b,UTP14B small subunit processome component
ENSMUSG00000047330,Kcne4,"potassium voltage-gated channel, Isk-related subfamily, gene 4"
ENSMUSG00000050711,Scg2,secretogranin II
ENSMUSG00000054702,Ap1s3,"adaptor-related protein complex AP-1, sigma 3"
ENSMUSG00000073643,Wdfy1,WD repeat and FYVE domain containing 1
ENSMUSG00000026248,Mrpl44,mitochondrial ribosomal protein L44
ENSMUSG00000026249,Serpine2,"serine (or cysteine) peptidase inhibitor, clade E, member 2"
ENSMUSG00000067106,NA,NA
ENSMUSG00000004364,Cul3,cullin 3
ENSMUSG00000103076,NA,NA
ENSMUSG00000038608,Dock10,dedicator of cytokinesis 10
ENSMUSG00000055980,Irs1,insulin receptor substrate 1
ENSMUSG00000026142,Rhbdd1,rhomboid domain containing 1
ENSMUSG00000067158,Col4a4,"collagen, type IV, alpha 4"
ENSMUSG00000079465,Col4a3,"collagen, type IV, alpha 3"
ENSMUSG00000097564,NA,NA
ENSMUSG00000026150,Mff,mitochondrial fission factor
ENSMUSG00000101450,NA,NA
ENSMUSG00000026149,Tm4sf20,transmembrane 4 L six family member 20
ENSMUSG00000100170,NA,NA
ENSMUSG00000100744,NA,NA
ENSMUSG00000026159,Agfg1,ArfGAP with FG repeats 1
ENSMUSG00000113880,NA,NA
ENSMUSG00000038496,Slc19a3,"solute carrier family 19, member 3"
ENSMUSG00000026166,Ccl20,chemokine (C-C motif) ligand 20
ENSMUSG00000026163,Sphkap,"SPHK1 interactor, AKAP domain containing"
